Date,Open,ASKHI,BIDLO,Close,PRC,Volume,RET,SHROUT,TP,vwretx
1/2/2020,46.860001,49.25,46.630001,49.099998,49.099998,80331100,#VALUE!,1224000000,3882134266,#VALUE!
1/3/2020,48.029999,49.389999,47.540001,48.599998,48.599998,73127400,-0.0101833,1224000000,3547410125,-0.086221681
1/6/2020,48.02,48.860001,47.860001,48.389999,48.389999,47934900,-0.004320967,1224000000,2318611129,-0.346393271
1/7/2020,49.349998,49.389999,48.040001,48.25,48.25,58061400,-0.002893139,1224000000,2819461584,0.216013133
1/8/2020,47.849998,48.299999,47.139999,47.830002,47.830002,53767000,-0.008704622,1224000000,2567732697,-0.089282609
1/9/2020,48.939999,49.959999,48.389999,48.970001,48.970001,76512800,0.023834392,1224000000,3757288540,0.463270902
1/10/2020,49.259998,49.290001,48,48.169998,48.169998,44133700,-0.016336593,1224000000,2139895986,-0.430468019
1/13/2020,48.66,48.860001,48.240002,48.75,48.75,34266800,0.012040731,1224000000,1665937628,-0.221486634
1/14/2020,48.639999,49.040001,47.91,48.209999,48.209999,38563200,-0.011076944,1224000000,1865944704,0.120056761
1/15/2020,48.23,49.080002,48.119999,48.549999,48.549999,40199900,0.007052479,1224000000,1953045142,0.046679003
1/16/2020,49.169998,50.310001,48.990002,49.77,49.77,58898900,0.025128754,1224000000,2926686400,0.498524708
1/17/2020,50.200001,51.049999,49.900002,50.93,50.93,57722500,0.023307213,1224000000,2922297786,-0.001499516
1/21/2020,50.959999,51.810001,50.700001,51.049999,51.049999,49095000,0.002356156,1224000000,2513009416,-0.140057037
1/22/2020,51.630001,51.880001,51.200001,51.43,51.43,40772200,0.007443702,1224000000,2099904235,-0.164386643
1/23/2020,51.34,51.75,50.740002,51.709999,51.709999,40135400,0.005444274,1224000000,2062959573,-0.017593498
1/24/2020,52.279999,52.810001,49.470001,50.349998,50.349998,80004900,-0.026300542,1224000000,4070382629,0.973079202
1/27/2020,48.450001,49.790001,47.900002,49.259998,49.259998,48878600,-0.021648462,1224000000,2394236773,-0.411790735
1/28/2020,50.029999,50.849998,49.48,50.529999,50.529999,62343800,0.025781589,1224000000,3135061827,0.30942013
1/29/2020,47.84,48.07,46.099998,47.509998,47.509998,112349900,-0.059766496,1224000000,5305911128,0.692442261
1/30/2020,46.490002,48.810001,46.130001,48.779999,48.779999,70460200,0.026731237,1224000000,3375513338,-0.363820227
1/31/2020,48.400002,48.580002,46.790001,47,47,60322400,-0.036490345,1224000000,2862700090,-0.151921559
2/3/2020,46.400002,48.099998,46.23,48.02,48.02,46983500,0.021702128,1224000000,2229367044,-0.221236255
2/4/2020,49.209999,49.75,48.610001,49.450001,49.450001,46302100,0.029779279,1224000000,2281304498,0.023296951
2/5/2020,50.290001,50.419998,49.310001,49.84,49.84,42737100,0.007886734,1224000000,2130729335,-0.066003974
2/6/2020,48.799999,49.389999,47.630001,49.32,49.32,48670600,-0.010433387,1224000000,2374151868,0.114243761
2/7/2020,48.91,50.669998,48.639999,49.73,49.73,53107600,0.008313058,1224000000,2638385515,0.111296017
2/10/2020,49.470001,52.299999,49.349998,52.259998,52.259998,60971700,0.050874683,1224000000,3128051347,0.185592981
2/11/2020,53.220001,54.48,52.91,53.799999,53.799999,74719100,0.029468065,1224000000,4014657218,0.283437122
2/12/2020,54.529999,54.849998,53.529999,53.889999,53.889999,45994900,0.001672862,1224000000,2487864080,-0.380304732
2/13/2020,53.43,55.029999,53.34,54.529999,54.529999,51640000,0.011876044,1224000000,2804051966,0.127092106
2/14/2020,55.189999,55.400002,54.560001,55.310001,55.310001,52365400,0.01430409,1224000000,2884809956,0.028800461
2/18/2020,54.939999,58.130001,54.84,56.889999,56.889999,70133200,0.028566226,1224000000,3970941784,0.376500305
2/19/2020,57.990002,59.27,57.509998,58.900002,58.900002,58597300,0.035331395,1224000000,3431457888,-0.135857921
2/20/2020,58.439999,59.02,56.150002,57.27,57.27,74203400,-0.027674057,1224000000,4265211481,0.242973576
2/21/2020,56.709999,56.799999,52.889999,53.279999,53.279999,88271100,-0.069670002,1224000000,4795180301,0.12425382
2/24/2020,48.18,50.279999,47.490002,49.119999,49.119999,86624100,-0.07807808,1224000000,4241404683,-0.11548588
2/25/2020,51.139999,51.240002,47.119999,47.57,47.57,88699400,-0.031555355,1224000000,4314634510,0.017265466
2/26/2020,47.700001,49.290001,47.07,47.490002,47.490002,86378400,-0.00168169,1224000000,4141844366,-0.040047458
2/27/2020,45.380001,46.240002,42.209999,44.009998,44.009998,106416200,-0.073278666,1224000000,4698629915,0.134429375
2/28/2020,41.360001,46.150002,41.040001,45.48,45.48,100331800,0.033401547,1224000000,4437006736,-0.055680738
3/2/2020,47.419998,47.68,44.66,47.459999,47.459999,102324700,0.043535598,1224000000,4768330986,0.07467292
3/3/2020,49.029999,50.200001,45.669998,46.75,46.75,141972300,-0.014959946,1224000000,6749363095,0.415456082
3/4/2020,48.25,50.139999,47.209999,50.110001,50.110001,93311800,0.071871679,1224000000,4586585978,-0.32044166
3/5/2020,48.68,49.720001,47.509998,48.110001,48.110001,98302700,-0.039912192,1224000000,4762438139,0.038340535
3/6/2020,49.439999,49.540001,46.740002,48.59,48.59,124590900,0.009977115,1224000000,6016494686,0.26332238
3/9/2020,43.029999,46.34,42.509998,43.27,43.27,80859800,-0.109487549,1224000000,3561065538,-0.408116233
3/10/2020,45.41,45.439999,43.099998,45.380001,45.380001,76228200,0.048763601,1224000000,3402826797,-0.044435785
3/11/2020,44.189999,45.970001,43.799999,45.700001,45.700001,101601100,0.007051564,1224000000,4587967040,0.348281095
3/12/2020,42,42.5,39,39.009998,39.009998,107461500,-0.146389559,1224000000,4316728383,-0.059119574
3/13/2020,42.200001,43.91,39.599998,43.900002,43.900002,86689700,0.125352583,1224000000,3681711559,-0.147106041
3/16/2020,39.080002,43.369999,38.509998,38.709999,38.709999,84545900,-0.118223298,1224000000,3398463248,-0.076933868
3/17/2020,40.189999,42.880001,38.299999,41.880001,41.880001,92741900,0.081891038,1224000000,3804272769,0.119409713
3/18/2020,39.540001,41.950001,36.75,39.119999,39.119999,106949300,-0.065902625,1224000000,4200255509,0.104088945
3/19/2020,39.560001,41.700001,37.689999,39.82,39.82,88939000,0.017893687,1224000000,3534139397,-0.158589426
3/20/2020,41.509998,42.48,39.580002,39.610001,39.610001,106859500,-0.005273707,1224000000,4333865229,0.226285877
3/23/2020,40.619999,42.32,38.950001,41.639999,41.639999,101704700,0.051249633,1224000000,4166841559,-0.038539193
3/24/2020,44.040001,46.810001,43.990002,46.220001,46.220001,106794200,0.109990445,1224000000,4877647237,0.170586203
3/25/2020,46.790001,47.880001,44.43,44.630001,44.630001,93760400,-0.034400692,1224000000,4279849788,-0.122558566
3/26/2020,45.779999,47.5,45.400002,47.5,47.5,73680200,0.064306496,1224000000,3448233409,-0.194309712
3/27/2020,46.32,47.98,45.900002,46.580002,46.580002,74599200,-0.019368379,1224000000,3492734643,0.012905517
3/30/2020,47.240002,48.459999,46.66,47.860001,47.860001,68486600,0.027479582,1224000000,3264071356,-0.065468268
3/31/2020,47.93,48.529999,45.16,45.48,45.48,83483700,-0.049728394,1224000000,3872808815,0.18649637
4/1/2020,44.18,46.849998,43.16,43.66,43.66,92083100,-0.04001759,1227000000,4102915931,0.059416079
4/2/2020,43.400002,45.279999,43.099998,44.490002,44.490002,79024100,0.019010582,1227000000,3499977363,-0.146953674
4/3/2020,44.299999,44.84,41.700001,42.59,42.59,79335000,-0.042706269,1227000000,3414842876,-0.024324296
4/6/2020,44.299999,47.580002,44.060001,47.52,47.52,82294000,0.115754872,1227000000,3817344429,0.11786825
4/7/2020,48.959999,49.650002,46.68,47.560001,47.560001,102098700,0.000841772,1227000000,4896994083,0.282827414
4/8/2020,48.07,49,47.610001,48.790001,48.790001,64930800,0.025862068,1227000000,3146979483,-0.357365063
4/9/2020,49.650002,50.25,47.720001,48.380001,48.380001,80270100,-0.008403361,1227000000,3915843099,0.244317962
4/13/2020,48.470001,51.07,48.23,50.939999,50.939999,64290100,0.052914385,1227000000,3219648187,-0.177789277
4/14/2020,52.240002,55.139999,52.110001,54.93,54.93,85306800,0.078327465,1227000000,4611685608,0.432356997
4/15/2020,53.73,55.57,53.41,54.990002,54.990002,83814000,0.001092336,1227000000,4580993916,-0.0066552
4/16/2020,55.959999,58.080002,55.630001,56.950001,56.950001,103106500,0.035642825,1227000000,5865385234,0.280373941
4/17/2020,57.349998,57.759998,55.549999,56.599998,56.599998,76908800,-0.006145794,1227000000,4355857941,-0.257362003
4/20/2020,55.98,58.630001,55.849998,56.970001,56.970001,72367300,0.006537156,1227000000,4135791195,-0.050522021
4/21/2020,56.900002,57.73,51.41,52.919998,52.919998,123906400,-0.071090099,1227000000,6693423645,0.618414308
4/22/2020,54.91,56.150002,54.34,55.919998,55.919998,63041600,0.056689345,1227000000,3496917552,-0.477559208
4/23/2020,56.650002,57.290001,55.639999,55.900002,55.900002,69662700,-0.000357582,1227000000,3920384593,0.121097234
4/24/2020,55.099998,56.779999,54.419998,56.18,56.18,72761000,0.005008909,1227000000,4059578654,0.035505205
4/27/2020,57.439999,58,56.25,56.490002,56.490002,62568100,0.005518014,1227000000,3560959173,-0.122825427
4/28/2020,57.16,57.349998,55.299999,55.509998,55.509998,80501800,-0.017348273,1227000000,4512394095,0.267185013
4/29/2020,54.529999,54.860001,52.740002,53.66,53.66,110800900,-0.033327294,1227000000,5955917822,0.319901963
4/30/2020,53.43,54.290001,52.029999,52.389999,52.389999,65543900,-0.023667555,1227000000,3467490768,-0.417807486
5/1/2020,51.07,51.950001,49.09,49.880001,49.880001,69562700,-0.047909869,1227000000,3499467608,0.009221896
5/4/2020,49.82,52.610001,49.73,52.560001,52.560001,62590600,0.053728948,1227000000,3231761355,-0.076499137
5/5/2020,53.43,53.509998,51.290001,52.189999,52.189999,56560500,-0.007039612,1227000000,2959810927,-0.084149291
5/6/2020,52.419998,53.310001,51.880001,52.16,52.16,48138100,-0.000574804,1227000000,2524843377,-0.146957884
5/7/2020,52.93,52.970001,51.619999,51.950001,51.950001,48956600,-0.004026054,1227000000,2554555404,0.011767869
5/8/2020,52.150002,53.27,51.810001,53.189999,53.189999,40686100,0.023869066,1227000000,2146463016,-0.159750847
5/11/2020,52.900002,55.889999,52.75,55.740002,55.740002,68746400,0.0479414,1227000000,3766844434,0.754907681
5/12/2020,56.209999,56.580002,53.75,53.759998,53.759998,55631100,-0.035522137,1227000000,3042835733,-0.192205628
5/13/2020,54.040001,55.220001,51.299999,52.18,52.18,76824700,-0.029389845,1227000000,4064026630,0.335605004
5/14/2020,52.099998,54.540001,51.610001,54.509998,54.509998,73814000,0.044653085,1227000000,3952985747,-0.027322873
5/15/2020,53.32,54.439999,52.860001,54.200001,54.200001,66950900,-0.005686975,1227000000,3604190139,-0.088235989
5/18/2020,54.98,55.25,54.240002,54.59,54.59,48569200,0.007195553,1227000000,2656411478,-0.262965777
5/19/2020,54.389999,56.73,54.360001,55.470001,55.470001,60388500,0.016120187,1227000000,3352769560,0.262142401
5/20/2020,56.549999,56.98,55.630001,56.389999,56.389999,50888200,0.016585505,1227000000,2866701933,-0.144974958
5/21/2020,56.68,56.720001,54.610001,54.650002,54.650002,48496100,-0.030856482,1227000000,2683127624,-0.064036762
5/22/2020,54.77,55.369999,53.779999,55.169998,55.169998,43524100,0.009515023,1227000000,2383959979,-0.111499595
5/26/2020,56.009998,56.080002,53.02,53.189999,53.189999,51618900,-0.035889053,1227000000,2792410444,0.171332769
5/27/2020,53.27,53.279999,49.09,52.740002,52.740002,102414500,-0.008460181,1227000000,5295171066,0.896272476
5/28/2020,52.25,53.540001,51.25,51.740002,51.740002,53670200,-0.01896094,1227000000,2800332189,-0.471153594
5/29/2020,52.07,53.799999,51.849998,53.799999,53.799999,64666700,0.039814397,1227000000,3437035019,0.227366893
6/1/2020,53.310001,54.110001,52.889999,53.630001,53.630001,36864400,-0.003159814,1227000000,1973842870,-0.425713483
6/2/2020,53.450001,53.57,52.009998,53.540001,53.540001,42855200,-0.001678165,1227000000,2273039794,0.151580923
6/3/2020,53.599998,53.650002,52.330002,52.73,52.73,46765300,-0.015128894,1227000000,2474040317,0.08842807
6/4/2020,52.59,53.740002,52.200001,52.630001,52.630001,44869100,-0.001896435,1227000000,2371631122,-0.041393503
6/5/2020,52.990002,53.57,52.080002,53.099998,53.099998,53908300,0.008930211,1227000000,2852647542,0.202820926
6/8/2020,53.299999,53.349998,52.259998,52.970001,52.970001,39681700,-0.002448155,1227000000,2097574622,-0.264691978
6/9/2020,52.950001,56.459999,52.720001,56.389999,56.389999,79919100,0.064564809,1227000000,4410735102,1.102778636
